icd9cm,icd10cm,icd9_description,icd10_description,Pop number,acs,acs_ip_12,herniated_disc,mononeuritis,malignancy,sinusitis,CHF,AF_flutter,syncope_heat,syncope_carotid_sinus,traumatic_brain_injury,prostate_ca,low_back_pain,pop_41,pop_43,breast_cancer,allergy,acute_sinusitis,chronic_sinusitis,pop49,trauma,intraspinal_abcess,pop51,cervical_cancer,prostate_cancer
41011,I2109,"Acute myocardial infarction of other anterior wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41011,I2109,"Acute myocardial infarction of other anterior wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41012,I2109,"Acute myocardial infarction of other anterior wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41012,I2109,"Acute myocardial infarction of other anterior wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41030,I2111,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving right cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41030,I2111,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving right cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41031,I2111,"Acute myocardial infarction of inferoposterior wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving right cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41031,I2111,"Acute myocardial infarction of inferoposterior wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving right cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41032,I2111,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving right cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41032,I2111,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving right cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41020,I2119,"Acute myocardial infarction of inferolateral wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41020,I2119,"Acute myocardial infarction of inferolateral wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41021,I2119,"Acute myocardial infarction of inferolateral wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41021,I2119,"Acute myocardial infarction of inferolateral wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41022,I2119,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41022,I2119,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41040,I2119,"Acute myocardial infarction of other inferior wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41040,I2119,"Acute myocardial infarction of other inferior wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41041,I2119,"Acute myocardial infarction of other inferior wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41041,I2119,"Acute myocardial infarction of other inferior wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41042,I2119,"Acute myocardial infarction of other inferior wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41042,I2119,"Acute myocardial infarction of other inferior wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41050,I2129,"Acute myocardial infarction of other lateral wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41050,I2129,"Acute myocardial infarction of other lateral wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41051,I2129,"Acute myocardial infarction of other lateral wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41051,I2129,"Acute myocardial infarction of other lateral wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41052,I2129,"Acute myocardial infarction of other lateral wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41052,I2129,"Acute myocardial infarction of other lateral wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41060,I2129,"True posterior wall infarction, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41060,I2129,"True posterior wall infarction, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41061,I2129,"True posterior wall infarction, initial episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41061,I2129,"True posterior wall infarction, initial episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41062,I2129,"True posterior wall infarction, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41062,I2129,"True posterior wall infarction, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41080,I2129,"Acute myocardial infarction of other specified sites, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41080,I2129,"Acute myocardial infarction of other specified sites, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41081,I2129,"Acute myocardial infarction of other specified sites, initial episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41081,I2129,"Acute myocardial infarction of other specified sites, initial episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41082,I2129,"Acute myocardial infarction of other specified sites, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41082,I2129,"Acute myocardial infarction of other specified sites, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other sit,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41090,I213,"Acute myocardial infarction of unspecified site, episode of care unspecified",ST elevation (STEMI) myocardial infarction of unspecified site,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41090,I213,"Acute myocardial infarction of unspecified site, episode of care unspecified",ST elevation (STEMI) myocardial infarction of unspecified site,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41091,I213,"Acute myocardial infarction of unspecified site, initial episode of care",ST elevation (STEMI) myocardial infarction of unspecified site,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41091,I213,"Acute myocardial infarction of unspecified site, initial episode of care",ST elevation (STEMI) myocardial infarction of unspecified site,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41092,I213,"Acute myocardial infarction of unspecified site, subsequent episode of care",ST elevation (STEMI) myocardial infarction of unspecified site,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41092,I213,"Acute myocardial infarction of unspecified site, subsequent episode of care",ST elevation (STEMI) myocardial infarction of unspecified site,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41070,I214,"Subendocardial infarction, episode of care unspecified",Non-ST elevation (NSTEMI) myocardial infarction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41070,I214,"Subendocardial infarction, episode of care unspecified",Non-ST elevation (NSTEMI) myocardial infarction,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41071,I214,"Subendocardial infarction, initial episode of care",Non-ST elevation (NSTEMI) myocardial infarction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41071,I214,"Subendocardial infarction, initial episode of care",Non-ST elevation (NSTEMI) myocardial infarction,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41072,I214,"Subendocardial infarction, subsequent episode of care",Non-ST elevation (NSTEMI) myocardial infarction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41072,I214,"Subendocardial infarction, subsequent episode of care",Non-ST elevation (NSTEMI) myocardial infarction,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41181,I240,Acute coronary occlusion without myocardial infarction,Acute coronary thrombosis not resulting in myocardial infarcti,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41181,I240,Acute coronary occlusion without myocardial infarction,Acute coronary thrombosis not resulting in myocardial infarcti,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41189,I248,"Other acute and subacute forms of ischemic heart disease, other",Other forms of acute ischemic heart disease,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41189,I248,"Other acute and subacute forms of ischemic heart disease, other",Other forms of acute ischemic heart disease,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1731,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1732,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1733,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1734,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1735,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1736,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1737,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1738,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1739,,skin cancers,I don't really want these included anymore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2398,,neoplasm unspecified,should be C80.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
488,,,IGNORE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4880,,"should be five digits (488.01,488.02,488.09) -influenza ",IGNORE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4881,,"should be five digits (488.11, 488.12, 488.19) -influenza",IGNORE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5128,,sponatenous pneumothorax,SHOULD BE J93.11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5163,,fibrosing alveolitis,we probably have this already with J848,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5185,,ARDS,SHOULD BE J80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4845,A221,Pneumonia in anthrax,Pulmonary anthrax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4843,A3791,Pneumonia in whooping cough,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48284,A481,Pneumonia due to Legionnaires' disease,Legionnaires' disease,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,B20,Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus [HIV] disease,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4841,B250,Pneumonia in cytomegalic inclusion disease,Cytomegaloviral pneumonitis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4846,B440,Pneumonia in aspergillosis,Invasive pulmonary aspergillosis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5186,B4481,Allergic bronchopulmonary aspergillosis,Allergic bronchopulmonary aspergillosis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1200,B650,Schistosomiasis due to schistosoma haematobium,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1400,C000,"Malignant neoplasm of upper lip, vermilion border",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1401,C001,"Malignant neoplasm of lower lip, vermilion border",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1409,C002,"Malignant neoplasm of lip, unspecified, vermilion border",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1403,C003,"Malignant neoplasm of upper lip, inner aspect",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1404,C004,"Malignant neoplasm of lower lip, inner aspect",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1405,C005,"Malignant neoplasm of lip, unspecified, inner aspect",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1406,C006,Malignant neoplasm of commissure of lip,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1408,C008,Malignant neoplasm of other sites of lip,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1410,C01,Malignant neoplasm of base of tongue,Malignant neoplasm of base of tongue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1411,C020,Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm of dorsal surface of tongue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1412,C021,Malignant neoplasm of tip and lateral border of tongue,Malignant neoplasm of border of tongue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1413,C022,Malignant neoplasm of ventral surface of tongue,Malignant neoplasm of ventral surface of tongue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1414,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified","Malignant neoplasm of anterior two-thirds of tongue, part unsp",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1416,C024,Malignant neoplasm of lingual tonsil,Malignant neoplasm of lingual tonsil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1415,C028,Malignant neoplasm of junctional zone of tongue,Malignant neoplasm of overlapping sites of tongue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1418,C028,Malignant neoplasm of other sites of tongue,Malignant neoplasm of overlapping sites of tongue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1419,C029,"Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1430,C030,Malignant neoplasm of upper gum,Malignant neoplasm of upper gum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1431,C031,Malignant neoplasm of lower gum,Malignant neoplasm of lower gum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1438,C039,Malignant neoplasm of other sites of gum,"Malignant neoplasm of gum, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1439,C039,"Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1440,C040,Malignant neoplasm of anterior portion of floor of mouth,Malignant neoplasm of anterior floor of mouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1441,C041,Malignant neoplasm of lateral portion of floor of mouth,Malignant neoplasm of lateral floor of mouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1448,C048,Malignant neoplasm of other sites of floor of mouth,Malignant neoplasm of overlapping sites of floor of mouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1449,C049,"Malignant neoplasm of floor of mouth, part unspecified","Malignant neoplasm of floor of mouth, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1452,C050,Malignant neoplasm of hard palate,Malignant neoplasm of hard palate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1453,C051,Malignant neoplasm of soft palate,Malignant neoplasm of soft palate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1454,C052,Malignant neoplasm of uvula,Malignant neoplasm of uvula,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1455,C059,"Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1450,C060,Malignant neoplasm of cheek mucosa,Malignant neoplasm of cheek mucosa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1451,C061,Malignant neoplasm of vestibule of mouth,Malignant neoplasm of vestibule of mouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1456,C062,Malignant neoplasm of retromolar area,Malignant neoplasm of retromolar area,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1458,C0689,Malignant neoplasm of other specified parts of mouth,Malignant neoplasm of overlapping sites of other parts of mout,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1459,C069,"Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1420,C07,Malignant neoplasm of parotid gland,Malignant neoplasm of parotid gland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1421,C080,Malignant neoplasm of submandibular gland,Malignant neoplasm of submandibular gland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1422,C081,Malignant neoplasm of sublingual gland,Malignant neoplasm of sublingual gland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1428,C089,Malignant neoplasm of other major salivary glands,"Malignant neoplasm of major salivary gland, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1429,C089,"Malignant neoplasm of salivary gland, unspecified","Malignant neoplasm of major salivary gland, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1461,C090,Malignant neoplasm of tonsillar fossa,Malignant neoplasm of tonsillar fossa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1462,C091,Malignant neoplasm of tonsillar pillars (anterior) (posterior),Malignant neoplasm of tonsillar pillar (anterior) (posterior),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1460,C099,Malignant neoplasm of tonsil,"Malignant neoplasm of tonsil, unspecified",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1463,C100,Malignant neoplasm of vallecula epiglottica,Malignant neoplasm of vallecula,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1464,C101,Malignant neoplasm of anterior aspect of epiglottis,Malignant neoplasm of anterior surface of epiglottis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1466,C102,Malignant neoplasm of lateral wall of oropharynx,Malignant neoplasm of lateral wall of oropharynx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1467,C103,Malignant neoplasm of posterior wall of oropharynx,Malignant neoplasm of posterior wall of oropharynx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1468,C104,Malignant neoplasm of other specified sites of oropharynx,Malignant neoplasm of branchial cleft,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1465,C108,Malignant neoplasm of junctional region of oropharynx,Malignant neoplasm of overlapping sites of oropharynx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1468,C108,Malignant neoplasm of other specified sites of oropharynx,Malignant neoplasm of overlapping sites of oropharynx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
