dgns_cd,description,hccesrdv21,hcc22,hccrxv05,hccesrd,hcc,hccrx,fyear
A4181,Sepsis due to Enterococcus,2,2,,Yes,Yes,No,2018
A4189,Other specified sepsis,2,2,,Yes,Yes,No,2018
A419,"Sepsis, unspecified organism",2,2,,Yes,Yes,No,2018
A420,Pulmonary actinomycosis,115,115,,Yes,Yes,No,2018
A427,Actinomycotic sepsis,2,2,,Yes,Yes,No,2018
A430,Pulmonary nocardiosis,115,115,,Yes,Yes,No,2018
A480,Gas gangrene,106,106,,Yes,Yes,No,2018
A481,Legionnaires' disease,114,114,,Yes,Yes,No,2018
A483,Toxic shock syndrome,2,2,,Yes,Yes,No,2018
A5055,Late congenital syphilitic arthropathy,39,39,,Yes,Yes,No,2018
A5204,Syphilitic cerebral arteritis,,,206,No,No,Yes,2018
A5440,"Gonococcal infection of musculoskeletal system, unspecified",39,39,,Yes,Yes,No,2018
A5441,Gonococcal spondylopathy,39,39,,Yes,Yes,No,2018
A5442,Gonococcal arthritis,39,39,,Yes,Yes,No,2018
A5443,Gonococcal osteomyelitis,39,39,,Yes,Yes,No,2018
A5449,Gonococcal infection of other musculoskeletal tissue,39,39,,Yes,Yes,No,2018
A5484,Gonococcal pneumonia,115,115,,Yes,Yes,No,2018
A5485,Gonococcal peritonitis,33,33,,Yes,Yes,No,2018
A5486,Gonococcal sepsis,2,2,,Yes,Yes,No,2018
A666,Bone and joint lesions of yaws,39,39,,Yes,Yes,No,2018
A6923,Arthritis due to Lyme disease,39,39,,Yes,Yes,No,2018
A8100,"Creutzfeldt-Jakob disease, unspecified",52,,112,Yes,No,Yes,2018
A8101,Variant Creutzfeldt-Jakob disease,52,,112,Yes,No,Yes,2018
A8109,Other Creutzfeldt-Jakob disease,52,,112,Yes,No,Yes,2018
A811,Subacute sclerosing panencephalitis,52,,112,Yes,No,Yes,2018
A812,Progressive multifocal leukoencephalopathy,52,,112,Yes,No,Yes,2018
A8181,Kuru,52,,112,Yes,No,Yes,2018
A8182,Gerstmann-Straussler-Scheinker syndrome,52,,112,Yes,No,Yes,2018
A8183,Fatal familial insomnia,52,,112,Yes,No,Yes,2018
A8189,Other atypical virus infections of central nervous system,52,,112,Yes,No,Yes,2018
A819,"Atypical virus infection of central nervous system, unspecified",52,,112,Yes,No,Yes,2018
A985,Hemorrhagic fever with renal syndrome,141,,,Yes,No,No,2018
B007,Disseminated herpesviral disease,2,2,,Yes,Yes,No,2018
B0082,Herpes simplex myelitis,72,72,157,Yes,Yes,Yes,2018
B0112,Varicella myelitis,72,72,157,Yes,Yes,Yes,2018
B0221,Postherpetic geniculate ganglionitis,,,168,No,No,Yes,2018
B0222,Postherpetic trigeminal neuralgia,,,168,No,No,Yes,2018
B0223,Postherpetic polyneuropathy,,,168,No,No,Yes,2018
B0224,Postherpetic myelitis,72,72,157,Yes,Yes,Yes,2018
B0229,Other postherpetic nervous system involvement,,,168,No,No,Yes,2018
B0682,Rubella arthritis,39,39,,Yes,Yes,No,2018
B180,Chronic viral hepatitis B with delta-agent,29,29,55,Yes,Yes,Yes,2018
B181,Chronic viral hepatitis B without delta-agent,29,29,55,Yes,Yes,Yes,2018
B182,Chronic viral hepatitis C,29,29,54,Yes,Yes,Yes,2018
B188,Other chronic viral hepatitis,29,29,55,Yes,Yes,Yes,2018
B189,"Chronic viral hepatitis, unspecified",29,29,55,Yes,Yes,Yes,2018
B20,Human immunodeficiency virus [HIV] disease,1,1,1,Yes,Yes,Yes,2018
B250,Cytomegaloviral pneumonitis,6,6,5,Yes,Yes,Yes,2018
B251,Cytomegaloviral hepatitis,6,6,5,Yes,Yes,Yes,2018
B252,Cytomegaloviral pancreatitis,6,6,5,Yes,Yes,Yes,2018
B258,Other cytomegaloviral diseases,6,6,5,Yes,Yes,Yes,2018
B259,"Cytomegaloviral disease, unspecified",6,6,5,Yes,Yes,Yes,2018
B2685,Mumps arthritis,39,39,,Yes,Yes,No,2018
B3324,Viral cardiomyopathy,85,85,186,Yes,Yes,Yes,2018
B371,Pulmonary candidiasis,6,6,5,Yes,Yes,Yes,2018
B377,Candidal sepsis,2,2,5,Yes,Yes,Yes,2018
B377,Candidal sepsis,6,6,,Yes,Yes,--,2018
B3781,Candidal esophagitis,6,6,5,Yes,Yes,Yes,2018
B380,Acute pulmonary coccidioidomycosis,115,115,,Yes,Yes,No,2018
B381,Chronic pulmonary coccidioidomycosis,115,115,,Yes,Yes,No,2018
B382,"Pulmonary coccidioidomycosis, unspecified",115,115,,Yes,Yes,No,2018
B390,Acute pulmonary histoplasmosis capsulati,115,115,,Yes,Yes,No,2018
B391,Chronic pulmonary histoplasmosis capsulati,115,115,,Yes,Yes,No,2018
B392,"Pulmonary histoplasmosis capsulati, unspecified",115,115,,Yes,Yes,No,2018
B400,Acute pulmonary blastomycosis,115,115,,Yes,Yes,No,2018
B401,Chronic pulmonary blastomycosis,115,115,,Yes,Yes,No,2018
B402,"Pulmonary blastomycosis, unspecified",115,115,,Yes,Yes,No,2018
B410,Pulmonary paracoccidioidomycosis,115,115,,Yes,Yes,No,2018
B4282,Sporotrichosis arthritis,39,39,,Yes,Yes,No,2018
B440,Invasive pulmonary aspergillosis,6,6,5,Yes,Yes,Yes,2018
B441,Other pulmonary aspergillosis,6,6,5,Yes,Yes,Yes,2018
B442,Tonsillar aspergillosis,6,6,5,Yes,Yes,Yes,2018
B447,Disseminated aspergillosis,6,6,5,Yes,Yes,Yes,2018
B4481,Allergic bronchopulmonary aspergillosis,112,112,227,Yes,Yes,Yes,2018
B4489,Other forms of aspergillosis,6,6,5,Yes,Yes,Yes,2018
B449,"Aspergillosis, unspecified",6,6,5,Yes,Yes,Yes,2018
B450,Pulmonary cryptococcosis,6,6,5,Yes,Yes,Yes,2018
B451,Cerebral cryptococcosis,6,6,5,Yes,Yes,Yes,2018
B452,Cutaneous cryptococcosis,6,6,5,Yes,Yes,Yes,2018
B453,Osseous cryptococcosis,6,6,5,Yes,Yes,Yes,2018
B457,Disseminated cryptococcosis,6,6,5,Yes,Yes,Yes,2018
B458,Other forms of cryptococcosis,6,6,5,Yes,Yes,Yes,2018
B459,"Cryptococcosis, unspecified",6,6,5,Yes,Yes,Yes,2018
B460,Pulmonary mucormycosis,6,6,5,Yes,Yes,Yes,2018
B461,Rhinocerebral mucormycosis,6,6,5,Yes,Yes,Yes,2018
B462,Gastrointestinal mucormycosis,6,6,5,Yes,Yes,Yes,2018
B463,Cutaneous mucormycosis,6,6,5,Yes,Yes,Yes,2018
B464,Disseminated mucormycosis,6,6,5,Yes,Yes,Yes,2018
B465,"Mucormycosis, unspecified",6,6,5,Yes,Yes,Yes,2018
B468,Other zygomycoses,6,6,5,Yes,Yes,Yes,2018
B469,"Zygomycosis, unspecified",6,6,5,Yes,Yes,Yes,2018
B484,Penicillosis,6,6,5,Yes,Yes,Yes,2018
B488,Other specified mycoses,6,6,5,Yes,Yes,Yes,2018
B520,Plasmodium malariae malaria with nephropathy,141,,,Yes,No,No,2018
B582,Toxoplasma meningoencephalitis,6,6,5,Yes,Yes,Yes,2018
B583,Pulmonary toxoplasmosis,6,6,5,Yes,Yes,Yes,2018
B59,Pneumocystosis,6,6,5,Yes,Yes,Yes,2018
B664,Paragonimiasis,115,115,,Yes,Yes,No,2018
B671,Echinococcus granulosus infection of lung,115,115,,Yes,Yes,No,2018
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",1,1,1,Yes,Yes,Yes,2018
C01,Malignant neoplasm of base of tongue,11,11,,Yes,Yes,No,2018
C020,Malignant neoplasm of dorsal surface of tongue,11,11,,Yes,Yes,No,2018
C021,Malignant neoplasm of border of tongue,11,11,,Yes,Yes,No,2018
C022,Malignant neoplasm of ventral surface of tongue,11,11,,Yes,Yes,No,2018
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,11,,Yes,Yes,No,2018
C024,Malignant neoplasm of lingual tonsil,11,11,,Yes,Yes,No,2018
C028,Malignant neoplasm of overlapping sites of tongue,11,11,,Yes,Yes,No,2018
C029,"Malignant neoplasm of tongue, unspecified",11,11,,Yes,Yes,No,2018
C030,Malignant neoplasm of upper gum,11,11,,Yes,Yes,No,2018
C031,Malignant neoplasm of lower gum,11,11,,Yes,Yes,No,2018
C039,"Malignant neoplasm of gum, unspecified",11,11,,Yes,Yes,No,2018
C040,Malignant neoplasm of anterior floor of mouth,11,11,,Yes,Yes,No,2018
C041,Malignant neoplasm of lateral floor of mouth,11,11,,Yes,Yes,No,2018
C048,Malignant neoplasm of overlapping sites of floor of mouth,11,11,,Yes,Yes,No,2018
C049,"Malignant neoplasm of floor of mouth, unspecified",11,11,,Yes,Yes,No,2018
C050,Malignant neoplasm of hard palate,11,11,,Yes,Yes,No,2018
C051,Malignant neoplasm of soft palate,11,11,,Yes,Yes,No,2018
C052,Malignant neoplasm of uvula,11,11,,Yes,Yes,No,2018
C058,Malignant neoplasm of overlapping sites of palate,11,11,,Yes,Yes,No,2018
C059,"Malignant neoplasm of palate, unspecified",11,11,,Yes,Yes,No,2018
C060,Malignant neoplasm of cheek mucosa,11,11,,Yes,Yes,No,2018
C061,Malignant neoplasm of vestibule of mouth,11,11,,Yes,Yes,No,2018
C062,Malignant neoplasm of retromolar area,11,11,,Yes,Yes,No,2018
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,11,11,,Yes,Yes,No,2018
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,11,11,,Yes,Yes,No,2018
C069,"Malignant neoplasm of mouth, unspecified",11,11,,Yes,Yes,No,2018
C07,Malignant neoplasm of parotid gland,11,11,,Yes,Yes,No,2018
C080,Malignant neoplasm of submandibular gland,11,11,,Yes,Yes,No,2018
C081,Malignant neoplasm of sublingual gland,11,11,,Yes,Yes,No,2018
C089,"Malignant neoplasm of major salivary gland, unspecified",11,11,,Yes,Yes,No,2018
C090,Malignant neoplasm of tonsillar fossa,11,11,,Yes,Yes,No,2018
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),11,11,,Yes,Yes,No,2018
C098,Malignant neoplasm of overlapping sites of tonsil,11,11,,Yes,Yes,No,2018
C099,"Malignant neoplasm of tonsil, unspecified",11,11,,Yes,Yes,No,2018
C100,Malignant neoplasm of vallecula,11,11,,Yes,Yes,No,2018
C101,Malignant neoplasm of anterior surface of epiglottis,11,11,,Yes,Yes,No,2018
C102,Malignant neoplasm of lateral wall of oropharynx,11,11,,Yes,Yes,No,2018
C103,Malignant neoplasm of posterior wall of oropharynx,11,11,,Yes,Yes,No,2018
C104,Malignant neoplasm of branchial cleft,11,11,,Yes,Yes,No,2018
C108,Malignant neoplasm of overlapping sites of oropharynx,11,11,,Yes,Yes,No,2018
C109,"Malignant neoplasm of oropharynx, unspecified",11,11,,Yes,Yes,No,2018
C110,Malignant neoplasm of superior wall of nasopharynx,11,11,,Yes,Yes,No,2018
C111,Malignant neoplasm of posterior wall of nasopharynx,11,11,,Yes,Yes,No,2018
C112,Malignant neoplasm of lateral wall of nasopharynx,11,11,,Yes,Yes,No,2018
C113,Malignant neoplasm of anterior wall of nasopharynx,11,11,,Yes,Yes,No,2018
C118,Malignant neoplasm of overlapping sites of nasopharynx,11,11,,Yes,Yes,No,2018
C119,"Malignant neoplasm of nasopharynx, unspecified",11,11,,Yes,Yes,No,2018
C12,Malignant neoplasm of pyriform sinus,11,11,,Yes,Yes,No,2018
C130,Malignant neoplasm of postcricoid region,11,11,,Yes,Yes,No,2018
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",11,11,,Yes,Yes,No,2018
C132,Malignant neoplasm of posterior wall of hypopharynx,11,11,,Yes,Yes,No,2018
C138,Malignant neoplasm of overlapping sites of hypopharynx,11,11,,Yes,Yes,No,2018
C139,"Malignant neoplasm of hypopharynx, unspecified",11,11,,Yes,Yes,No,2018
C140,"Malignant neoplasm of pharynx, unspecified",11,11,,Yes,Yes,No,2018
C142,Malignant neoplasm of Waldeyer's ring,11,11,,Yes,Yes,No,2018
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",11,11,,Yes,Yes,No,2018
C153,Malignant neoplasm of upper third of esophagus,9,9,,Yes,Yes,No,2018
C154,Malignant neoplasm of middle third of esophagus,9,9,,Yes,Yes,No,2018
C155,Malignant neoplasm of lower third of esophagus,9,9,,Yes,Yes,No,2018
C158,Malignant neoplasm of overlapping sites of esophagus,9,9,,Yes,Yes,No,2018
C159,"Malignant neoplasm of esophagus, unspecified",9,9,,Yes,Yes,No,2018
C160,Malignant neoplasm of cardia,9,9,18,Yes,Yes,Yes,2018
C161,Malignant neoplasm of fundus of stomach,9,9,18,Yes,Yes,Yes,2018
C162,Malignant neoplasm of body of stomach,9,9,18,Yes,Yes,Yes,2018
C163,Malignant neoplasm of pyloric antrum,9,9,18,Yes,Yes,Yes,2018
C164,Malignant neoplasm of pylorus,9,9,18,Yes,Yes,Yes,2018
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",9,9,18,Yes,Yes,Yes,2018
C166,"Malignant neoplasm of greater curvature of stomach, unspecified",9,9,18,Yes,Yes,Yes,2018
C168,Malignant neoplasm of overlapping sites of stomach,9,9,18,Yes,Yes,Yes,2018
C169,"Malignant neoplasm of stomach, unspecified",9,9,18,Yes,Yes,Yes,2018
C170,Malignant neoplasm of duodenum,9,9,19,Yes,Yes,Yes,2018
C171,Malignant neoplasm of jejunum,9,9,19,Yes,Yes,Yes,2018
C172,Malignant neoplasm of ileum,9,9,19,Yes,Yes,Yes,2018
C173,"Meckel's diverticulum, malignant",9,9,19,Yes,Yes,Yes,2018
C178,Malignant neoplasm of overlapping sites of small intestine,9,9,19,Yes,Yes,Yes,2018
C179,"Malignant neoplasm of small intestine, unspecified",9,9,19,Yes,Yes,Yes,2018
C180,Malignant neoplasm of cecum,11,11,,Yes,Yes,No,2018
C181,Malignant neoplasm of appendix,11,11,,Yes,Yes,No,2018
C182,Malignant neoplasm of ascending colon,11,11,,Yes,Yes,No,2018
C183,Malignant neoplasm of hepatic flexure,11,11,,Yes,Yes,No,2018
C184,Malignant neoplasm of transverse colon,11,11,,Yes,Yes,No,2018
C185,Malignant neoplasm of splenic flexure,11,11,,Yes,Yes,No,2018
C186,Malignant neoplasm of descending colon,11,11,,Yes,Yes,No,2018
C187,Malignant neoplasm of sigmoid colon,11,11,,Yes,Yes,No,2018
C188,Malignant neoplasm of overlapping sites of colon,11,11,,Yes,Yes,No,2018
C189,"Malignant neoplasm of colon, unspecified",11,11,,Yes,Yes,No,2018
C19,Malignant neoplasm of rectosigmoid junction,11,11,,Yes,Yes,No,2018
C20,Malignant neoplasm of rectum,11,11,,Yes,Yes,No,2018
C210,"Malignant neoplasm of anus, unspecified",11,11,,Yes,Yes,No,2018
C211,Malignant neoplasm of anal canal,11,11,,Yes,Yes,No,2018
C212,Malignant neoplasm of cloacogenic zone,11,11,,Yes,Yes,No,2018
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",11,11,,Yes,Yes,No,2018
C220,Liver cell carcinoma,9,9,17,Yes,Yes,Yes,2018
C221,Intrahepatic bile duct carcinoma,9,9,17,Yes,Yes,Yes,2018
C222,Hepatoblastoma,9,9,17,Yes,Yes,Yes,2018
C223,Angiosarcoma of liver,9,9,17,Yes,Yes,Yes,2018
C224,Other sarcomas of liver,9,9,17,Yes,Yes,Yes,2018
C227,Other specified carcinomas of liver,9,9,17,Yes,Yes,Yes,2018
C228,"Malignant neoplasm of liver, primary, unspecified as to type",9,9,17,Yes,Yes,Yes,2018
C229,"Malignant neoplasm of liver, not specified as primary or secondary",9,9,17,Yes,Yes,Yes,2018
C23,Malignant neoplasm of gallbladder,9,9,19,Yes,Yes,Yes,2018
C240,Malignant neoplasm of extrahepatic bile duct,9,9,19,Yes,Yes,Yes,2018
C241,Malignant neoplasm of ampulla of Vater,9,9,19,Yes,Yes,Yes,2018
C248,Malignant neoplasm of overlapping sites of biliary tract,9,9,19,Yes,Yes,Yes,2018
C249,"Malignant neoplasm of biliary tract, unspecified",9,9,19,Yes,Yes,Yes,2018
C250,Malignant neoplasm of head of pancreas,9,9,18,Yes,Yes,Yes,2018
C251,Malignant neoplasm of body of pancreas,9,9,18,Yes,Yes,Yes,2018
C252,Malignant neoplasm of tail of pancreas,9,9,18,Yes,Yes,Yes,2018
C253,Malignant neoplasm of pancreatic duct,9,9,18,Yes,Yes,Yes,2018
C254,Malignant neoplasm of endocrine pancreas,9,9,18,Yes,Yes,Yes,2018
C257,Malignant neoplasm of other parts of pancreas,9,9,18,Yes,Yes,Yes,2018
C258,Malignant neoplasm of overlapping sites of pancreas,9,9,18,Yes,Yes,Yes,2018
C259,"Malignant neoplasm of pancreas, unspecified",9,9,18,Yes,Yes,Yes,2018
C260,"Malignant neoplasm of intestinal tract, part unspecified",11,11,,Yes,Yes,No,2018
C261,Malignant neoplasm of spleen,11,11,,Yes,Yes,No,2018
C269,Malignant neoplasm of ill-defined sites within the digestive system,11,11,,Yes,Yes,No,2018
C300,Malignant neoplasm of nasal cavity,11,11,,Yes,Yes,No,2018
C301,Malignant neoplasm of middle ear,11,11,,Yes,Yes,No,2018
C310,Malignant neoplasm of maxillary sinus,11,11,,Yes,Yes,No,2018
C311,Malignant neoplasm of ethmoidal sinus,11,11,,Yes,Yes,No,2018
C312,Malignant neoplasm of frontal sinus,11,11,,Yes,Yes,No,2018
C313,Malignant neoplasm of sphenoid sinus,11,11,,Yes,Yes,No,2018
C318,Malignant neoplasm of overlapping sites of accessory sinuses,11,11,,Yes,Yes,No,2018
C319,"Malignant neoplasm of accessory sinus, unspecified",11,11,,Yes,Yes,No,2018
C320,Malignant neoplasm of glottis,11,11,,Yes,Yes,No,2018
C321,Malignant neoplasm of supraglottis,11,11,,Yes,Yes,No,2018
C322,Malignant neoplasm of subglottis,11,11,,Yes,Yes,No,2018
C323,Malignant neoplasm of laryngeal cartilage,11,11,,Yes,Yes,No,2018
C328,Malignant neoplasm of overlapping sites of larynx,11,11,,Yes,Yes,No,2018
C329,"Malignant neoplasm of larynx, unspecified",11,11,,Yes,Yes,No,2018
C33,Malignant neoplasm of trachea,9,9,18,Yes,Yes,Yes,2018
C3400,Malignant neoplasm of unspecified main bronchus,9,9,18,Yes,Yes,Yes,2018
C3401,Malignant neoplasm of right main bronchus,9,9,18,Yes,Yes,Yes,2018
C3402,Malignant neoplasm of left main bronchus,9,9,18,Yes,Yes,Yes,2018
C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C342,"Malignant neoplasm of middle lobe, bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",9,9,18,Yes,Yes,Yes,2018
C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,9,9,18,Yes,Yes,Yes,2018
C3481,Malignant neoplasm of overlapping sites of right bronchus and lung,9,9,18,Yes,Yes,Yes,2018
C3482,Malignant neoplasm of overlapping sites of left bronchus and lung,9,9,18,Yes,Yes,Yes,2018
C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,9,9,18,Yes,Yes,Yes,2018
C3491,Malignant neoplasm of unspecified part of right bronchus or lung,9,9,18,Yes,Yes,Yes,2018
C3492,Malignant neoplasm of unspecified part of left bronchus or lung,9,9,18,Yes,Yes,Yes,2018
C37,Malignant neoplasm of thymus,11,11,,Yes,Yes,No,2018
C380,Malignant neoplasm of heart,11,11,,Yes,Yes,No,2018
C381,Malignant neoplasm of anterior mediastinum,11,11,,Yes,Yes,No,2018
C382,Malignant neoplasm of posterior mediastinum,11,11,,Yes,Yes,No,2018
C383,"Malignant neoplasm of mediastinum, part unspecified",11,11,,Yes,Yes,No,2018
C384,Malignant neoplasm of pleura,9,9,18,Yes,Yes,Yes,2018
C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",11,11,,Yes,Yes,No,2018
C390,"Malignant neoplasm of upper respiratory tract, part unspecified",11,11,,Yes,Yes,No,2018
C399,"Malignant neoplasm of lower respiratory tract, part unspecified",11,11,,Yes,Yes,No,2018
C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb,10,10,19,Yes,Yes,Yes,2018
C4001,Malignant neoplasm of scapula and long bones of right upper limb,10,10,19,Yes,Yes,Yes,2018
C4002,Malignant neoplasm of scapula and long bones of left upper limb,10,10,19,Yes,Yes,Yes,2018
C4010,Malignant neoplasm of short bones of unspecified upper limb,10,10,19,Yes,Yes,Yes,2018
C4011,Malignant neoplasm of short bones of right upper limb,10,10,19,Yes,Yes,Yes,2018
C4012,Malignant neoplasm of short bones of left upper limb,10,10,19,Yes,Yes,Yes,2018
C4020,Malignant neoplasm of long bones of unspecified lower limb,10,10,19,Yes,Yes,Yes,2018
C4021,Malignant neoplasm of long bones of right lower limb,10,10,19,Yes,Yes,Yes,2018
C4022,Malignant neoplasm of long bones of left lower limb,10,10,19,Yes,Yes,Yes,2018
C4030,Malignant neoplasm of short bones of unspecified lower limb,10,10,19,Yes,Yes,Yes,2018
C4031,Malignant neoplasm of short bones of right lower limb,10,10,19,Yes,Yes,Yes,2018
C4032,Malignant neoplasm of short bones of left lower limb,10,10,19,Yes,Yes,Yes,2018
C4080,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,10,10,19,Yes,Yes,Yes,2018
C4081,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,10,10,19,Yes,Yes,Yes,2018
C4082,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,10,10,19,Yes,Yes,Yes,2018
C4090,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,10,10,19,Yes,Yes,Yes,2018
C4091,Malignant neoplasm of unspecified bones and articular cartilage of right limb,10,10,19,Yes,Yes,Yes,2018
C4092,Malignant neoplasm of unspecified bones and articular cartilage of left limb,10,10,19,Yes,Yes,Yes,2018
C410,Malignant neoplasm of bones of skull and face,10,10,19,Yes,Yes,Yes,2018
C411,Malignant neoplasm of mandible,10,10,19,Yes,Yes,Yes,2018
C412,Malignant neoplasm of vertebral column,10,10,19,Yes,Yes,Yes,2018
C413,"Malignant neoplasm of ribs, sternum and clavicle",10,10,19,Yes,Yes,Yes,2018
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx",10,10,19,Yes,Yes,Yes,2018
C419,"Malignant neoplasm of bone and articular cartilage, unspecified",10,10,19,Yes,Yes,Yes,2018
C430,Malignant melanoma of lip,12,12,,Yes,Yes,No,2018
C4310,"Malignant melanoma of unspecified eyelid, including canthus",12,12,,Yes,Yes,No,2018
C4311,"Malignant melanoma of right eyelid, including canthus",12,12,,Yes,Yes,No,2018
C4312,"Malignant melanoma of left eyelid, including canthus",12,12,,Yes,Yes,No,2018
C4320,Malignant melanoma of unspecified ear and external auricular canal,12,12,,Yes,Yes,No,2018
C4321,Malignant melanoma of right ear and external auricular canal,12,12,,Yes,Yes,No,2018
C4322,Malignant melanoma of left ear and external auricular canal,12,12,,Yes,Yes,No,2018
C4330,Malignant melanoma of unspecified part of face,12,12,,Yes,Yes,No,2018
C4331,Malignant melanoma of nose,12,12,,Yes,Yes,No,2018
C4339,Malignant melanoma of other parts of face,12,12,,Yes,Yes,No,2018
C434,Malignant melanoma of scalp and neck,12,12,,Yes,Yes,No,2018
C4351,Malignant melanoma of anal skin,12,12,,Yes,Yes,No,2018
C4352,Malignant melanoma of skin of breast,12,12,,Yes,Yes,No,2018
C4359,Malignant melanoma of other part of trunk,12,12,,Yes,Yes,No,2018
C4360,"Malignant melanoma of unspecified upper limb, including shoulder",12,12,,Yes,Yes,No,2018
C4361,"Malignant melanoma of right upper limb, including shoulder",12,12,,Yes,Yes,No,2018
C4362,"Malignant melanoma of left upper limb, including shoulder",12,12,,Yes,Yes,No,2018
C4370,"Malignant melanoma of unspecified lower limb, including hip",12,12,,Yes,Yes,No,2018
C4371,"Malignant melanoma of right lower limb, including hip",12,12,,Yes,Yes,No,2018
C4372,"Malignant melanoma of left lower limb, including hip",12,12,,Yes,Yes,No,2018
C438,Malignant melanoma of overlapping sites of skin,12,12,,Yes,Yes,No,2018
C439,"Malignant melanoma of skin, unspecified",12,12,,Yes,Yes,No,2018
