compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state
CHSP00000042,190044,Acadia General Hospital,1305 Crowley Rayne Highway,Crowley,LA,70526,1,HSI00000562,Lafayette General Health,Lafayette,LA
CHSP00000043,204006,Acadia Hospital,268 Stillwater Avenue,Bangor,ME,04401,0,HSI00000330,Eastern Maine Healthcare Systems,Brewer,ME
CHSP00000044,,Acadia Montana,55 Basin Creek Rd,Butte,MT,59701,0,,,,
CHSP00000045,194078,Acadia Optima Hospital,1131 Rue De Belier,Lafayette,LA,70506,1,,,,
CHSP00000046,194044,Acadia Vermilion Hospital,2520 North University Avenue,Lafayette,LA,70507,0,,,,
CHSP00000048,191319,Acadia-St. Landry Hospital,810 South Broadway Street,Church Point,LA,70525,1,,,,
CHSP00000049,190078,Acadian Medical Center,3501 Highway 190,Eunice,LA,70535,1,HSI00000584,LifePoint Health,Brentwood,TN
CHSP00000050,320070,Acoma-Canoncito-Laguna Hospital,80b Veterans Boulevard,Acoma,NM,87034,0,,,,
CHSP00000051,452040,Acuity Hospital of South Texas,718 Lexington Avenue,San Antonio,TX,78212,0,,,,
CHSP00000053,312023,Acuity Specialty Hospital of New Jersey,"1925 Pacific Avenue, 7th Floor",Atlantic City,NJ,08401,0,,,,
CHSP00000056,362035,Acuity Specialty Hospitals Ohio Valley,"380 Summit Avenue, 3rd Floor",Steubenville,OH,43952,0,,,,
CHSP00000058,161310,Adair County Memorial Hospital,609 Se Kent Street,Greenfield,IA,50849,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00000059,361326,Adams County Regional Medical Center,230 Medical Center Drive,Seaman,OH,45679,1,,,,
CHSP00000060,151330,Adams Memorial Hospital,1100 Mercer Avenue,Decatur,IN,46733,1,,,,
CHSP00000061,220062,Adcare Hospital of Worcester,107 Lincoln Street,Worcester,MA,01605,0,,,,
CHSP00000062,,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,1,HSI00000563,Lahey Health System,Burlington,MA
CHSP00000063,361304,Adena Greenfield Medical Center,550 Mirabeau Street,Greenfield,OH,45123,1,HSI00000008,Adena Health System,Chillicothe,OH
CHSP00000064,360159,Adena Medical Center,272 Hospital Road,Chillicothe,OH,45601,1,HSI00000008,Adena Health System,Chillicothe,OH
CHSP00000065,361334,Adena Pike Medical Center,100 Dawn Lane,Waverly,OH,45690,1,HSI00000008,Adena Health System,Chillicothe,OH
CHSP00000068,330079,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,12983,1,,,,
CHSP00000069,272001,Advanced Care Hospital of Montana,3528 Gabel Road,Billings,MT,59102,0,,,,
CHSP00000070,322004,Advanced Care Hospital of Southern New Mexico,4451 East Lohman Avenue,Las Cruces,NM,88011,0,,,,
CHSP00000071,042011,Advanced Care Hospital of White County,1200 South Main Street,Searcy,AR,72143,0,HSI00001145,Unity Health,Searcy,AR
CHSP00000072,670203,Advanced Diagnostics Hospital,12950 East Freeway,Houston,TX,77015,0,,,,
CHSP00000073,362038,Advanced Specialty Hospital of Toledo,1015 Garden Lake Parkway,Toledo,OH,43614,0,,,,
CHSP00000074,390323,Advanced Surgical Hospital,100 Trich Drive Suite 1,Washington,PA,15301,1,,,,
CHSP00000076,214013,Adventist Behavioral Health Rockville,14901 Broschart Road,Rockville,MD,20850,0,HSI00000012,Adventist HealthCare,Gaithersburg,MD
CHSP00000077,210057,Adventist Healthcare Shady Grove Medical Center,9901 Medical Center Drive,Rockville,MD,20850,1,HSI00000012,Adventist HealthCare,Gaithersburg,MD
CHSP00000078,210016,Adventist Healthcare Washington Adventist Hospital,7600 Carroll Avenue,Takoma Park,MD,20912,1,HSI00000012,Adventist HealthCare,Gaithersburg,MD
CHSP00000079,140065,Adventist La Grange Memorial Hospital,5101 South Willow Spring Road,La Grange,IL,60525,1,HSI00000010,Adventist Health System,Altamonte Springs,FL
CHSP00000080,050121,Adventist Medical Center - Hanford,115 Mall Drive,Hanford,CA,93230,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00000081,050470,Adventist Medical Center Selma,1141 Rose Ave,Selma,CA,93662,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00000082,380060,Adventist Medical Center-Portland,10123 Se Market Street,Portland,OR,97216,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00000083,050192,Adventist Medical Center-Reedley,372 West Cypress Avenue,Reedley,CA,93654,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00000084,213029,Adventist Rehabilitation Hospital of Maryland,9909 Medical Center Drive,Rockville,MD,20850,0,HSI00000012,Adventist HealthCare,Gaithersburg,MD
CHSP00000085,140127,Advocate BroMenn Medical Center,1304 Franklin Avenue,Normal,IL,61761,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000088,140208,Advocate Christ Medical Center,4440 West 95th Street,Oak Lawn,IL,60453,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000089,140202,Advocate Condell Medical Center,801 South Milwaukee Avenue,Libertyville,IL,60048,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000090,141309,Advocate Eureka Hospital,101 South Major Street,Eureka,IL,61530,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000091,140288,Advocate Good Samaritan Hospital,3815 Highland Avenue,Downers Grove,IL,60515,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000092,140291,Advocate Good Shepherd Hospital,450 West Highway 22,Barrington,IL,60010,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000093,140182,Advocate Illinois Masonic Medical Center,836 West Wellington Avenue,Chicago,IL,60657,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000095,140223,Advocate Lutheran General Hospital,1775 Dempster Street,Park Ridge,IL,60068,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000096,140030,Advocate Sherman Hospital,1425 North Randall Road,Elgin,IL,60123,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000097,140250,Advocate South Suburban Hospital,17800 South Kedzie Avenue,Hazel Crest,IL,60429,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000098,140048,Advocate Trinity Hospital,2320 East 93rd Street,Chicago,IL,60617,1,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000099,360151,Affinity Medical Center,875 Eighth Street Ne,Massillon,OH,44646,1,,,,
CHSP00000100,520088,Agnesian HealthCare,430 East Division Street,Fond Du Lac,WI,54935,1,HSI00000015,Agnesian Healthcare,Fond Du Lac,WI
CHSP00000101,420082,Aiken Regional Medical Centers,302 University Parkway,Aiken,SC,29801,1,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000102,363303,Akron Children's Hospital,One Perkins Square,Akron,OH,44308,1,HSI00000211,Childrens Hospital Medical Center of Akron,Akron,OH
CHSP00000104,360027,Akron General Medical Center,1 Akron General Avenue,Akron,OH,44307,1,HSI00001078,The Cleveland Clinic Health System,Cleveland,OH
CHSP00000106,340070,Alamance Regional Medical Center,1240 Huffman Mill Road,Burlington,NC,27215,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000107,050211,Alameda Hospital,2070 Clinton Avenue,Alameda,CA,94501,1,HSI00000018,Alameda Health System,Oakland,CA
CHSP00000108,020026,Alaska Native Medical Center,4315 Diplomacy Drive,Anchorage,AK,99508,1,,,,
CHSP00000109,024002,Alaska Psychiatric Institute,3700 Piper Street,Anchorage,AK,99508,0,,,,
CHSP00000110,020017,Alaska Regional Hospital,2801 Debarr Road,Anchorage,AK,99508,1,HSI00000492,HCA,Nashville,TN
CHSP00000111,,Albany Area Hospital & Med Ctr,300 3rd Ave,Albany,MN,56307,1,HSI00000183,Catholic Health Initiatives,Englewood,CO
CHSP00000112,330013,Albany Medical Center,43 New Scotland Avenue,Albany,NY,12208,1,HSI00000019,Albany Medical Center,Albany,NY
CHSP00000113,330189,Albany Medical Center South Clinical Campus,25 Hackett Blvd,Albany,NY,12208,1,HSI00000019,Albany Medical Center,Albany,NY
CHSP00000114,330003,Albany Memorial Hospital,600 Northern Boulevard,Albany,NY,12204,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00000115,33009F,Albany Stratton Veterans Affairs Medical Center,113 Holland Avenue,Albany,NY,12208,0,,,,
CHSP00000116,,Albert Einstein Healthcare Network,60 Township Line Rd,Elkins Park,PA,19027,0,HSI00000020,Albert Einstein Healthcare Network,Philadelphia,PA
CHSP00000117,,Albert J. Solnit Psychiatric Center - South Campus,915 River Road,Middletown,CT,06457,0,,,,
CHSP00000119,23009F,Aleda E. Lutz Veterans Affairs Medical Center,1500 Weiss Street,Saginaw,MI,48602,0,,,,
CHSP00000120,19043F,Alexandria VA Medical Center,2495 Shreveport Hwy,Pineville,LA,71360,0,,,,
CHSP00000121,,Alexandria Veterans Affairs Health Care System,"2495 Shreveport Highway, 71 N",Pineville,LA,71360,0,,,,
CHSP00000122,144031,Alexian Brothers Behavioral Health Hospital,1650 Moon Lake Boulevard,Hoffman Estates,IL,60169,0,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000123,083300,Alfred I. duPont Hospital for Children,1600 Rockland Road,Wilmington,DE,19803,1,HSI00000725,Nemours Childrens Health System,Jacksonville,FL
CHSP00000124,050281,Alhambra Hospital Medical Center,100 South Raymond Avenue,Alhambra,CA,91801,1,,,,
CHSP00000126,301305,Alice Peck Day Memorial Hospital,10 Alice Peck Day Drive,Lebanon,NH,03766,1,,,,
CHSP00000128,231328,Allegan General Hospital,555 Linn Street,Allegan,MI,49010,1,,,,
CHSP00000129,341320,Alleghany Memorial Hospital,233 Doctors Street,Sparta,NC,28675,1,,,,
CHSP00000130,390050,Allegheny General Hospital,320 East North Avenue,Pittsburgh,PA,15212,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00000131,390032,Allegheny Valley Hospital,1301 Carlisle Street,Natrona Heights,PA,15065,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00000132,454101,Allegiance Behavioral Health Center of Plainview,"2601 Dimmit Road, Suite 400",Plainview,TX,79072,0,,,,
CHSP00000133,194087,Allegiance Health Center of Ruston,1401 Ezell Street,Ruston,LA,71270,0,,,,
CHSP00000134,252013,Allegiance Specialty Hospital of Greenville,"300 South Washington Avenue, 3rd Floor",Greenville,MS,38701,0,,,,
CHSP00000135,450488,Allegiance Specialty Hospital of Kilgore,1612 South Henderson Boulevard,Kilgore,TX,75662,0,,,,
CHSP00000136,171373,Allen County Regional Hospital,3066 N. Kentucky St,Iola,KS,66749,1,HSI00000492,HCA,Nashville,TN
CHSP00000137,,Allen Hospital,5141 Broadway,New York,NY,10034,1,HSI00000731,New York Presbyterian Healthcare System,New York,NY
CHSP00000139,190133,Allen Parish Hospital,108 Sixth Avenue,Kinder,LA,70648,1,,,,
CHSP00000140,421300,Allendale County Hospital,1787 Allendale Fairfax Highway,Fairfax,SC,29827,1,,,,
CHSP00000141,,Allenmore Hospital,1901 S Union Ave # 1,Tacoma,WA,98405,1,HSI00000714,MultiCare Health System,Tacoma,WA
CHSP00000142,360131,Alliance Community Hospital,200 East State Street,Alliance,OH,44601,1,,,,
CHSP00000143,250151,Alliance Health Center,5000 Highway 39 North,Meridian,MS,39301,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000144,250012,Alliance HealthCare System,1430 Highway 4 East,Holly Springs,MS,38635,1,,,,
CHSP00000145,370030,AllianceHealth Blackwell,710 South 13th Street,Blackwell,OK,74631,1,,,,
CHSP00000146,370029,AllianceHealth Clinton,100 North 30th Street,Clinton,OK,73601,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000147,370032,AllianceHealth Deaconess,5501 North Portland Avenue,Oklahoma City,OK,73112,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000148,370014,AllianceHealth Durant,1800 University Boulevard,Durant,OK,74701,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000149,371326,AllianceHealth Madill,901 South Fifth Avenue,Madill,OK,73446,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000150,370094,AllianceHealth Midwest,2825 Parklawn Drive,Midwest City,OK,73110,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000151,370006,AllianceHealth Ponca City,1900 North 14th Street,Ponca City,OK,74601,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000152,370015,AllianceHealth Pryor,111 North Bailey Street,Pryor,OK,74361,1,HSI00000046,Ardent Health Services,Nashville,TN
CHSP00000153,370229,AllianceHealth Seminole,2401 Wrangler Boulevard,Seminole,OK,74868,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000154,370002,AllianceHealth Woodward,900 17th Street,Woodward,OK,73801,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000155,393030,Allied Services Rehabilitation Hospital,475 Morgan Highway,Scranton,PA,18508,0,,,,
CHSP00000156,050305,Alta Bates Summit Medical Center,2450 Ashby Avenue,Berkeley,CA,94705,1,HSI00001050,Sutter Health,Sacramento,CA
CHSP00000157,050043,Alta Bates Summit Medical Center - Summit Campus,350 Hawthorne Avenue,Oakland,CA,94609,1,HSI00001050,Sutter Health,Sacramento,CA
CHSP00000159,460044,Alta View Hospital,9660 South 1300 East,Sandy,UT,84094,1,HSI00000516,Intermountain Healthcare,Salt Lake City,UT
CHSP00000160,320003,Alta Vista Regional Hospital,104 Legion Drive,Las Vegas,NM,87701,1,,,,
CHSP00000162,140002,Alton Memorial Hospital,One Memorial Drive,Alton,IL,62002,1,HSI00000070,BJC HealthCare,Saint Louis,MO
CHSP00000163,144016,Alton Mental Health Center,4500 College Avenue,Alton,IL,62002,0,,,,
CHSP00000164,350019,Altru Health System,1200 South Columbia Road,Grand Forks,ND,58201,1,HSI00000032,Altru Health System,Grand Forks,ND
CHSP00000166,,Altru Specialty Center,4500 S Washington St,Grand Forks,ND,58201,0,HSI00000032,Altru Health System,Grand Forks,ND
CHSP00000167,050757,Alvarado Hospital Medical Center,6655 Alvarado Road,San Diego,CA,92120,1,HSI00000845,"Prime Healthcare Services, Inc",Ontario,CA
CHSP00000168,054075,Alvarado Parkway Institute Behavioral Health System,7050 Parkway Drive,La Mesa,CA,91942,0,,,,
CHSP00000169,45060F,Amarillo Veterans Affairs Health Care System,6010 West Amarillo Boulevard,Amarillo,TX,79106,0,,,,
CHSP00000171,460023,American Fork Hospital,170 North 1100 East,American Fork,UT,84003,1,HSI00000516,Intermountain Healthcare,Salt Lake City,UT
CHSP00000173,521308,Amery Hospital and Clinic,265 Griffin Street East,Amery,WI,54001,1,HSI00000464,"HealthPartners, Inc",Minneapolis,MN
CHSP00000174,420027,AnMed Health Medical Center,800 North Fant Street,Anderson,SC,29621,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000175,423029,AnMed Health Rehabilitation Hospital,1 Spring Back Way,Anderson,SC,29621,0,,,,
CHSP00000177,050744,Anaheim Global Medical Center,1025 South Anaheim Boulevard,Anaheim,CA,92805,1,,,,
CHSP00000178,114032,Anchor Hospital,5454 Yorktowne Drive,Atlanta,GA,30349,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000179,314005,Ancora Psychiatric Hospital,301 Spring Garden Road,Hammonton,NJ,08037,0,,,,
CHSP00000180,010036,Andalusia Health,849 South Three Notch Street,Andalusia,AL,36420,1,HSI00000584,LifePoint Health,Brentwood,TN
CHSP00000181,171316,Anderson County Hospital,421 South Maple,Garnett,KS,66032,1,HSI00000935,Saint Lukes Health System,Kansas City,MO
CHSP00000182,140289,Anderson Hospital,6800 State Route 162,Maryville,IL,62062,1,,,,
CHSP00000183,250104,Anderson Regional Health System,2124 14th Street,Meridian,MS,39301,1,HSI00000034,Anderson Regional Medical Center,Meridian,MS
CHSP00000184,250081,Anderson Regional Health System South,1102 Constitution Avenue,Meridian,MS,39301,1,HSI00000034,Anderson Regional Medical Center,Meridian,MS
CHSP00000185,144021,Andrew McFarland Mental Health Center,901 East Southwind Road,Springfield,IL,62703,0,,,,
CHSP00000186,301310,Androscoggin Valley Hospital,59 Page Hill Road,Berlin,NH,03570,1,,,,
CHSP00000187,341326,Angel Medical Center,120 Riverview Street,Franklin,NC,28734,1,HSI00000691,Mission Health System,Asheville,NC
CHSP00000188,060117,Animas Surgical Hospital,575 Rivergate Lane,Durango,CO,81301,1,HSI00000081,Baptist Memorial Health Care Corporation,Memphis,TN
CHSP00000189,143300,Ann & Robert H. Lurie Children's Hospital of Chicago,225 East Chicago Avenue,Chicago,IL,60611,1,HSI00000036,Ann and Robert H Lurie Childrens Hospital,Chicago,IL
CHSP00000190,220029,Anna Jaques Hospital,25 Highland Avenue,Newburyport,MA,01950,1,HSI00000037,Anna Jacques Hospital,Newburyport,MA
CHSP00000191,210023,Anne Arundel Medical Center,2001 Medical Parkway,Annapolis,MD,21401,1,HSI00000038,"Anne Arundel Health System, Inc",Annapolis,MD
CHSP00000193,281314,Annie Jeffrey Memorial County Health Center,531 Beebe Street,Osceola,NE,68651,1,,,,
CHSP00000194,,Annie Penn Hospital,618 S Main St,Reidsville,NC,27320,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000195,244002,Anoka-Metropolitan Regional Treatment Center,3301 Seventh Avenue,Anoka,MN,55303,0,,,,
CHSP00000196,450078,Anson General Hospital,101 Avenue 'j',Anson,TX,79501,1,,,,
CHSP00000197,281326,Antelope Memorial Hospital,102 West Ninth Street,Neligh,NE,68756,1,,,,
CHSP00000198,050056,Antelope Valley Hospital,1600 West Avenue 'j',Lancaster,CA,93534,1,,,,
CHSP00000200,171346,Anthony Medical Center,1101 East Spring Street,Anthony,KS,67003,1,,,,
CHSP00000201,364015,Appalachian Behavioral Healthcare,100 Hospital Drive,Athens,OH,45701,0,,,,
CHSP00000202,241341,Appleton Area Health Services,30 South Behl Street,Appleton,MN,56208,1,,,,
CHSP00000203,520160,Appleton Medical Center,1818 North Meade Street,Appleton,WI,54911,1,HSI00001092,"ThedaCare, Inc",Appleton,WI
CHSP00000204,110071,Appling Healthcare System,163 East Tollison Street,Baxley,GA,31513,1,,,,
CHSP00000205,224018,Arbour H. R. I. Hospital,227 Babcock Street,Brookline,MA,02446,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000206,224013,Arbour Hospital,49 Robinwood Avenue,Boston,MA,02130,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000207,224021,Arbour-Fuller Hospital,200 May Street,Attleboro,MA,02703,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000208,371328,Arbuckle Memorial Hospital,2011 West Broadway Street,Sulphur,OK,73086,1,HSI00000660,Mercy Health,Chesterfield,MO
CHSP00000209,390115,Aria - Jefferson Health,10800 Knights Road,Philadelphia,PA,19114,1,HSI00000048,Jefferson Health,Philadelphia,PA
CHSP00000210,,Aria Health Bucks County Campus,380 Oxford Vly Rd,Langhorne,PA,19047,1,HSI00000048,Jefferson Health,Philadelphia,PA
CHSP00000211,,Aria Health Frankford Campus,10800 Knights Rd,Philadelphia,PA,19114,1,HSI00000048,Jefferson Health,Philadelphia,PA
CHSP00000212,450871,Arise Austin Medical Center,3003 Bee Caves Road,Austin,TX,78746,1,,,,
CHSP00000214,030102,Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,85016,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000215,030112,Arizona Orthopedic Surgical Hospital,2905 West Warner Road,Chandler,AZ,85224,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000216,030107,Arizona Spine and Joint Hospital,4620 East Baseline Road,Mesa,AZ,85206,1,,,,
CHSP00000217,034021,Arizona State Hospital,2500 East Van Buren Street,Phoenix,AZ,85008,0,,,,
CHSP00000219,043300,Arkansas Children's Hospital,1 Children's Way,Little Rock,AR,72202,1,HSI00000050,Arkansas Childrens Hospital,Little Rock,AR
CHSP00000221,040134,Arkansas Heart Hospital,1701 South Shackleford Road,Little Rock,AR,72211,1,,,,
CHSP00000222,040039,Arkansas Methodist Medical Center,900 West Kingshighway,Paragould,AR,72450,1,,,,
CHSP00000223,044011,Arkansas State Hospital,305 South Palm Street,Little Rock,AR,72205,0,,,,
CHSP00000224,040147,Arkansas Surgical Hospital,5201 North Shore Drive,North Little Rock,AR,72118,1,,,,
CHSP00000225,060036,Arkansas Valley Regional Medical Center,1100 Carson Avenue,La Junta,CO,81050,1,,,,
CHSP00000227,,Arms Acres,75 Seminary Hill Road,Carmel,NY,10512,0,,,,
CHSP00000228,330090,Arnot Ogden Medical Center,600 Roe Avenue,Elmira,NY,14905,1,HSI00000052,Arnot Health,Elmira,NY
CHSP00000229,,Aroostook Health Center,Po Box 410,Mars Hill,ME,04758,0,HSI00000330,Eastern Maine Healthcare Systems,Brewer,ME
CHSP00000230,200018,Aroostook Medical Center,140 Academy Street,Presque Isle,ME,04769,1,HSI00000330,Eastern Maine Healthcare Systems,Brewer,ME
CHSP00000232,364036,Arrowhead Behavioral Health Hospital,1725 Timber Line Road,Maumee,OH,43537,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000233,050245,Arrowhead Regional Medical Center,400 North Pepper Avenue,Colton,CA,92324,1,,,,
CHSP00000234,050016,Arroyo Grande Community Hospital,345 S Halcyon Rd,Arroyo Grande,CA,93420,1,HSI00000314,Dignity Health,San Francisco,CA
CHSP00000235,320030,Artesia General Hospital,702 North 13th Street,Artesia,NM,88210,1,,,,
CHSP00000236,380005,Asante Ashland Community Hospital,280 Maple Street,Ashland,OR,97520,1,HSI00000054,Asante Health System,Medford,OR
CHSP00000237,380018,Asante Rogue Regional Medical Center,2825 East Barnett Road,Medford,OR,97504,1,HSI00000054,Asante Health System,Medford,OR
CHSP00000238,380002,Asante Three Rivers Medical Center,500 Sw Ramsey Avenue,Grants Pass,OR,97527,1,HSI00000054,Asante Health System,Medford,OR
CHSP00000239,341325,Ashe Memorial Hospital,200 Hospital Avenue,Jefferson,NC,28640,1,HSI00000773,"Novant Health, Inc",Winston Salem,NC
CHSP00000240,342017,Asheville Specialty Hospital,"428 Biltmore Avenue, 4th Floor",Asheville,NC,28801,0,HSI00000691,Mission Health System,Asheville,NC
CHSP00000242,171304,Ashland Health Center,709 Oak Street,Ashland,KS,67831,1,,,,
CHSP00000243,041323,Ashley County Medical Center,1015 Unity Road,Crossett,AR,71635,1,,,,
CHSP00000244,351322,Ashley Medical Center,612 North Center Avenue,Ashley,ND,58413,1,,,,
CHSP00000245,460030,Ashley Regional Medical Center,150 West 100 North,Vernal,UT,84078,1,HSI00000584,LifePoint Health,Brentwood,TN
